               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11893,            0.015281,            0.077669,                   0,                   0,                   0,                   0,            0.078143,           0.0089345,            0.049117,                 0.1,                   0,                   0
                   1,             0.11562,            0.013786,            0.077999,                   0,                   0,                   0,                   0,            0.077742,           0.0090132,            0.049117,              0.0991,          9.9802e-05,          9.9802e-05
                   2,              0.1116,            0.014949,            0.078219,                   0,                   0,                   0,                   0,             0.07704,           0.0091445,            0.049104,            0.098199,          0.00019921,          0.00019921
                   3,             0.11191,            0.015644,            0.074988,                   0,                   0,                   0,                   0,            0.076167,           0.0093203,            0.049039,            0.097298,          0.00029822,          0.00029822
                   4,              0.1152,            0.014444,            0.079098,                   0,                   0,                   0,                   0,            0.075104,           0.0095391,            0.048949,            0.096397,          0.00039683,          0.00039683
                   5,             0.11373,             0.01883,            0.075428,                   0,                   0,                   0,                   0,            0.073695,           0.0098372,            0.048936,            0.095495,          0.00049505,          0.00049505
                   6,             0.10469,            0.011602,            0.080661,                   0,                   0,                   0,                   0,            0.072105,            0.010202,             0.04891,            0.094593,          0.00059287,          0.00059287
                   7,             0.10276,            0.014317,            0.078126,                   0,                   0,                   0,                   0,            0.070228,            0.010618,            0.048871,             0.09369,           0.0006903,           0.0006903
                   8,             0.10709,            0.016261,            0.075375,                   0,                   0,                   0,                   0,            0.068189,            0.011068,            0.048676,            0.092787,          0.00078733,          0.00078733
                   9,             0.10544,             0.01657,            0.074759,                   0,                   0,                   0,                   0,            0.065604,            0.011655,            0.048586,            0.091884,          0.00088396,          0.00088396
                  10,             0.10271,            0.019509,            0.073878,                   0,                   0,                   0,                   0,            0.062662,            0.012305,             0.04843,             0.09098,           0.0009802,           0.0009802
                  11,            0.092686,            0.019723,            0.072397,                   0,                   0,                   0,                   0,            0.059727,            0.012948,            0.048248,            0.090076,            0.001076,            0.001076
                  12,            0.099069,             0.02386,            0.073297,           0.0049559,                 0.2,           0.0034173,          0.00034173,            0.057223,            0.013482,             0.04808,            0.089171,           0.0011715,           0.0011715
                  13,            0.092195,            0.021988,             0.07204,           0.0047398,                 0.2,           0.0029907,          0.00029907,            0.054584,            0.014026,            0.047639,            0.088267,           0.0012665,           0.0012665
                  14,            0.080217,            0.021172,            0.068469,           0.0061665,                 0.3,           0.0045858,          0.00055078,            0.052483,            0.014466,            0.047263,            0.087361,           0.0013612,           0.0013612
                  15,            0.089112,            0.019567,            0.069729,           0.0061407,                 0.3,           0.0045944,          0.00055765,            0.051063,            0.014753,            0.046964,            0.086455,           0.0014555,           0.0014555
                  16,            0.090712,             0.02392,            0.067845,           0.0060642,                 0.3,           0.0044856,          0.00055468,            0.049107,            0.015129,            0.046458,            0.085549,           0.0015493,           0.0015493
                  17,            0.083218,            0.016625,            0.065883,           0.0060642,                 0.3,           0.0044856,          0.00055468,            0.049107,            0.015129,            0.046458,            0.084643,           0.0016428,           0.0016428
                  18,            0.082854,            0.030997,            0.065755,           0.0058832,                 0.3,           0.0045707,          0.00071974,            0.047732,            0.015337,            0.045836,            0.083736,           0.0017358,           0.0017358
                  19,            0.083026,            0.031235,            0.064289,           0.0058832,                 0.3,           0.0045707,          0.00071974,            0.047732,            0.015337,            0.045836,            0.082829,           0.0018285,           0.0018285
                  20,            0.079868,            0.032141,            0.063545,           0.0069909,                 0.4,            0.005782,           0.0011017,            0.046509,            0.015487,            0.045213,            0.081921,           0.0019208,           0.0019208
                  21,             0.08385,            0.016134,             0.06064,           0.0069909,                 0.4,            0.005782,           0.0011017,            0.046509,            0.015487,            0.045213,            0.081013,           0.0020127,           0.0020127
                  22,            0.073811,            0.023846,            0.061737,           0.0056497,                 0.4,           0.0054339,           0.0016302,            0.044666,            0.015786,            0.044422,            0.080104,           0.0021042,           0.0021042
                  23,            0.074855,            0.014232,             0.06784,           0.0056497,                 0.4,           0.0054339,           0.0016302,            0.044666,            0.015786,            0.044422,            0.079195,           0.0021953,           0.0021953
                  24,            0.082066,            0.020528,            0.063212,           0.0093854,                 0.6,           0.0092601,           0.0020967,            0.044104,             0.01575,            0.043748,            0.078286,            0.002286,            0.002286
                  25,            0.075615,            0.036216,            0.058236,           0.0093854,                 0.6,           0.0092601,           0.0020967,            0.044104,             0.01575,            0.043748,            0.077376,           0.0023762,           0.0023762
                  26,            0.079487,            0.029503,            0.058942,           0.0091093,                 0.6,           0.0095515,           0.0025435,            0.042911,            0.015878,            0.042814,            0.076466,           0.0024662,           0.0024662
                  27,            0.080031,            0.023311,            0.060202,           0.0091093,                 0.6,           0.0095515,           0.0025435,            0.042911,            0.015878,            0.042814,            0.075556,           0.0025557,           0.0025557
                  28,            0.077688,            0.026125,             0.06045,            0.011068,                 0.7,            0.012649,           0.0033149,            0.042648,            0.015744,            0.042036,            0.074645,           0.0026448,           0.0026448
                  29,            0.074009,            0.027318,            0.058957,            0.011068,                 0.7,            0.012649,           0.0033149,            0.042648,            0.015744,            0.042036,            0.073733,           0.0027335,           0.0027335
